timestamp,organisation_id,organisation_name,team_id,team_name,resource_id,resource_name,resource_type,region,environment,owner_id,owner_name,owner_email,hourly_cost,invocation_count,request_count,execution_duration_ms,memory_mb,concurrency,error_rate,retry_count,cpu_utilization,deployment_version,deployment_timestamp,configuration_change_type,configuration_change_timestamp,ground_truth_root_cause,request_count_change_pct,memory_mb_change_pct
2026-01-01 00:00:00,ORG-01,Northstar,T-00,Payments,fn-001,fn-001-payments,Serverless Function,ap-south-1,prod,U-000,Payments Owner 1,payments.owner.1@example.com,0.7035059576433723,651,2094,212.91976507369247,256,32,0.0021869229588260923,3,55.1,,,,,NORMAL,0.0,0.0
2026-01-01 00:00:00,ORG-02,Vertex,T-01,Platform,fn-002,fn-002-platform,Serverless Function,ap-south-1,prod,U-001,Platform Owner 2,platform.owner.2@example.com,0.7245268236847155,1385,2706,192.90627744288747,256,6,0.004246704395026006,7,20.8,,,,,NORMAL,0.0,0.0
2026-01-01 00:00:00,ORG-03,BluePeak,T-02,Data,fn-003,fn-003-data,Serverless Function,ap-south-1,prod,U-002,Data Owner 3,data.owner.3@example.com,0.6238950410661344,3199,10988,162.07150448249618,1024,11,0.013695876535452975,1,56.9,,,,,NORMAL,0.0,0.0
2026-01-01 00:00:00,ORG-04,Orbit,T-03,Media,fn-004,fn-004-media,Serverless Function,ap-south-1,prod,U-003,Media Owner 4,media.owner.4@example.com,0.519786536833912,1438,4550,188.1256463073352,512,5,0.010700114854844369,2,65.1,,,,,NORMAL,0.0,0.0
2026-01-01 00:00:00,ORG-01,Northstar,T-04,Identity,fn-005,fn-005-identity,Serverless Function,ap-south-1,prod,U-004,Identity Owner 1,identity.owner.1@example.com,0.585924145504805,529,1619,163.53695709975216,512,27,0.008349146492639898,2,54.4,,,,,NORMAL,0.0,0.0
2026-01-01 00:00:00,ORG-02,Vertex,T-05,Payments,fn-006,fn-006-payments,Serverless Function,ap-south-1,prod,U-005,Payments Owner 2,payments.owner.2@example.com,0.5413830498009784,1564,3296,167.79462247130468,512,13,0.0072258892440125976,3,30.6,,,,,NORMAL,0.0,0.0
2026-01-01 00:00:00,ORG-03,BluePeak,T-06,Platform,fn-007,fn-007-platform,Serverless Function,ap-south-1,prod,U-006,Platform Owner 3,platform.owner.3@example.com,0.6227002117595895,885,2714,201.89566378885678,512,26,0.012740651425344468,1,42.3,,,,,NORMAL,0.0,0.0
2026-01-01 00:00:00,ORG-04,Orbit,T-07,Data,fn-008,fn-008-data,Serverless Function,ap-south-1,prod,U-007,Data Owner 4,data.owner.4@example.com,0.31336231416532573,1103,1990,195.62859116104804,512,8,0.013992310653836718,3,77.3,,,,,NORMAL,0.0,0.0
2026-01-01 00:00:00,ORG-01,Northstar,T-08,Media,fn-009,fn-009-media,Serverless Function,ap-south-1,prod,U-008,Media Owner 1,media.owner.1@example.com,0.7663514641366032,697,1416,225.47299042251228,256,18,0.01442509341080252,2,24.2,,,,,NORMAL,0.0,0.0
2026-01-01 00:00:00,ORG-02,Vertex,T-09,Identity,fn-010,fn-010-identity,Serverless Function,ap-south-1,prod,U-009,Identity Owner 2,identity.owner.2@example.com,0.43259058054963384,1235,2289,129.3879750964041,1024,6,0.010432777046283218,5,44.6,,,,,NORMAL,0.0,0.0
